"Original Lines" OPINIONLEXICON SENTISTRENGTH SOCAL HAPPINESSINDEX SANN EMOTICONSDS SENTIMENT140 STANFORD AFINN MPQA NRCHASHTAG EMOLEX EMOTICONS PANAST SASA SENTIWORDNET VADER UMIGON
"@bruninho10 hiv querido @bruninho10 " Neutral Positive Positive Neutral Neutral Positive Neutral Neutral Positive Neutral Negative Positive Neutral Neutral Negative Positive Neutral Neutral
"@anjoperdido_ vitaminado carimbado titia hiv " Neutral Neutral Neutral Neutral Neutral Positive Neutral Negative Neutral Neutral Neutral Neutral Neutral Neutral Neutral Positive Neutral Neutral
"rt @inifiocruz 11º congresso hiv aids 4º congresso hepatites virais submissão trabalhos 08 05 https t co vhwe7mxb4j " Positive Neutral Neutral Neutral Neutral Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Negative Neutral Neutral
"rt @zquadszarry aiin falsa acusação estupro destrói vida homens ta bom vagabunda vem falar pra homem aqui https t " Positive Negative Negative Positive Neutral Positive Positive Negative Negative Negative Positive Negative Neutral Neutral Negative Negative Negative Negative
"cara lixo fazer vídeo anti homofobia primeira associação gay vídeo é hiv " Negative Negative Negative Negative Negative Positive Positive Negative Negative Neutral Positive Negative Neutral Neutral Neutral Positive Neutral Negative
"é homem controla orçamento quase metade tamanho oms https t co n4nzvj5iub https t co jeucpanqvg " Neutral Neutral Neutral Positive Neutral Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Positive Negative Neutral Neutral
"ações param bora pra vai ter mudadores fuá arrecadando alimento pra casa apoio pesso https t co veqvaycwvq " Positive Positive Neutral Positive Positive Positive Negative Negative Positive Positive Neutral Positive Neutral Neutral Neutral Positive Neutral Neutral
"rt @drcarinhoso previna #hiv #aids #prevencao https t co z2ji7cy494 " Neutral Neutral Neutral Neutral Neutral Positive Negative Neutral Negative Neutral Negative Positive Neutral Neutral Positive Positive Neutral Positive
"rt @drcarinhoso luta contra aids alguns dados relevantes #aids #hiv https t co zh0enansbj " Neutral Negative Positive Negative Positive Positive Negative Negative Negative Neutral Negative Neutral Neutral Neutral Neutral Negative Neutral Neutral
"rt @drcarinhoso previna hiv faz nenhuma distinção faça use camisinha todas relações cuide saúde preço " Positive Positive Positive Positive Negative Positive Negative Negative Neutral Neutral Negative Positive Neutral Neutral Positive Positive Neutral Positive
"rt @drcarinhoso 36 7 milhões pessoas hiv apenas 60 sabem menos 50 sabem tratamento https t co gx53tiap " Neutral Neutral Neutral Neutral Neutral Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Positive Negative Neutral Neutral
"juventude dança valsa hiv " Neutral Neutral Neutral Positive Neutral Positive Positive Neutral Neutral Neutral Positive Positive Neutral Neutral Neutral Positive Neutral Neutral
"@reloadon @misscaviar @g1 ah sim hiv decorrente transa camisinha consensual é boas contrario reage " Positive Positive Positive Positive Negative Positive Positive Positive Positive Neutral Positive Positive Neutral Neutral Negative Positive Positive Positive
"bicho cara faz comigo transmite hiv juro deus mato " Neutral Negative Neutral Positive Negative Positive Negative Negative Negative Negative Negative Positive Neutral Neutral Negative Negative Neutral Neutral
"rt @portaldoholanda 112 mil pessoas brasil sabem têm hiv epidemia é grave jovens https t co qyzzt1f7yx https t co c " Negative Negative Negative Positive Negative Positive Negative Negative Neutral Negative Negative Neutral Neutral Neutral Positive Positive Neutral Neutral
"rt @gaybrasil brasil testará medicamento evitar problema cardíaco hiv https t co pb2hsmpjze https t co lu563k3f8m " Negative Negative Negative Positive Neutral Positive Negative Negative Negative Neutral Negative Negative Neutral Neutral Neutral Negative Negative Negative
"rt @gaybrasil brasil testará medicamento evitar problema cardíaco hiv https t co pb2hsmpjze https t co lu563k3f8m " Negative Negative Negative Positive Neutral Positive Negative Negative Negative Neutral Negative Negative Neutral Neutral Neutral Negative Negative Negative
"@eltonpacheco aqui entrevista valéria https t co xbgb2utwbo " Neutral Neutral Neutral Neutral Neutral Positive Negative Negative Neutral Neutral Positive Neutral Neutral Neutral Positive Positive Neutral Neutral
"@frulanis aqui mô https t co xbgb2utwbo " Neutral Neutral Neutral Neutral Neutral Positive Negative Neutral Neutral Neutral Positive Neutral Neutral Neutral Neutral Neutral Neutral Neutral
"10 coisas precisa aprender crush é hiv positivo https t co yepvlulvdy " Positive Positive Positive Positive Neutral Positive Negative Negative Positive Neutral Negative Positive Neutral Neutral Positive Positive Neutral Neutral
"@reloadon @g1 desculpa tipo atitude merece cadeia cara fizer mulher hiv " Negative Negative Negative Negative Negative Positive Positive Negative Negative Negative Negative Negative Neutral Neutral Negative Negative Neutral Neutral
"saiba denunciar discriminação contra pessoas hiv aids https t co b2dpufwxyz " Negative Negative Negative Positive Neutral Positive Negative Neutral Negative Negative Negative Negative Neutral Neutral Neutral Positive Neutral Neutral
"saiba denunciar discriminação contra pessoas hiv aids https t co dpaa2ccga2 https t co oqz66cimfi " Negative Negative Negative Positive Neutral Positive Negative Neutral Negative Negative Negative Negative Neutral Neutral Neutral Positive Neutral Neutral
"saiba denunciar discriminação contra pessoas hiv aids https t co rme1jwerr8 https t co ojloskdyne " Negative Negative Negative Positive Neutral Positive Negative Neutral Negative Negative Negative Negative Neutral Neutral Neutral Positive Neutral Neutral
"saiba denunciar discriminação contra pessoas hiv aids https t co nmzh2s2lq0 https t co rpyq7wudk3 " Negative Negative Negative Positive Neutral Positive Negative Neutral Negative Negative Negative Negative Neutral Neutral Neutral Positive Neutral Neutral
"saiba denunciar discriminação contra pessoas hiv aids https t co kgryqjbhqb " Negative Negative Negative Positive Neutral Positive Negative Neutral Negative Negative Negative Negative Neutral Neutral Neutral Positive Neutral Neutral
"saiba denunciar discriminação contra pessoas hiv aids https t co n69x8bzsun " Negative Negative Negative Positive Neutral Positive Negative Neutral Negative Negative Negative Negative Neutral Neutral Neutral Positive Neutral Neutral
"@tiaduspao nao esquece hiv " Neutral Neutral Neutral Neutral Positive Positive Positive Neutral Negative Negative Neutral Negative Neutral Neutral Negative Negative Neutral Neutral
"violência é sacanagem é crime pessoa portadora vírus hiv tentando contaminar propositalm https t co hrdinxefko " Negative Negative Negative Negative Neutral Positive Negative Negative Negative Negative Negative Negative Neutral Neutral Positive Negative Negative Neutral
"@bbcbrasil @luisbarrucho violência é sacanagem é crime pessoa portadora vírus hiv tentando https t co olbhjmfmth " Negative Negative Negative Negative Negative Positive Negative Negative Negative Negative Negative Negative Neutral Neutral Positive Negative Negative Neutral
"meditação pode ajudar enfrentar depressão vírus hiv https t co jy0arefj3p #bemestar https t co vu1gs1hvxw " Negative Negative Negative Negative Neutral Positive Negative Positive Positive Negative Negative Negative Neutral Neutral Neutral Negative Neutral Neutral
